path,target,note
signup,https://docs.google.com/forms/d/e/1FAIpQLSdFd8lzInkZbCTJTc0Jtb0VvrQIrGkFN0hMcBpjsx3aRHkA7A/viewform,2026課程報名表單（Google，Chair確認）
register,https://www.medatatw.com/%E8%AA%B2%E7%A8%8B%E5%A0%B1%E5%90%8D.html,課程報名說明頁（須知與流程）
nma-basic,https://www.medatatw.com/f26-04-%E9%9B%B6%E7%A8%8B%E5%BC%8F%E7%A2%BCai%E5%8A%A9%E5%8A%9B%E7%B6%B2%E7%B5%A1%E7%B5%B1%E5%90%88%E5%88%86%E6%9E%90%E5%9F%BA%E7%A4%8E%E7%8F%AD.html,F26-04 零程式碼AI網絡統合分析基礎班
nma-pro,https://www.medatatw.com/f26-05-%E9%9B%B6%E7%A8%8B%E5%BC%8F%E7%A2%BCai%E5%8A%A9%E5%8A%9B%E7%B6%B2%E7%B5%A1%E7%B5%B1%E5%90%88%E5%88%86%E6%9E%90%E5%AF%A6%E6%88%B0%E7%8F%AD.html,F26-05 零程式碼AI網絡統合分析實戰班
about,https://www.medatatw.com/aboutus.html,關於我們
calendar,https://www.medatatw.com/%E8%A1%8C%E4%BA%8B%E6%9B%86.html,行事曆
membership,https://www.medatatw.com/%E6%9C%83%E5%93%A1%E5%85%A5%E6%9C%83%E6%96%B9%E6%A1%88.html,會員入會方案
weekly,https://www.medatatw.com/%E5%8C%AF%E6%9D%B1%E8%8F%AF%E9%80%B1%E5%A0%B1.html,匯東華週報
roadmap,https://www.medatatw.com/%E6%9C%AA%E4%BE%86%E7%99%BC%E5%B1%95.html,未來發展
offerings,https://www.medatatw.com/services.html,營業項目
stats-analysis,https://www.medatatw.com/%E7%B5%B1%E8%A8%88%E5%88%86%E6%9E%90.html,統計分析
data-pipeline,https://www.medatatw.com/%E6%95%B8%E6%93%9A%E4%B8%B2%E6%8E%A5%E8%88%87%E6%B8%85%E6%B4%97.html,數據串接與清洗
training,https://www.medatatw.com/%E6%95%99%E8%82%B2%E5%9F%B9%E8%A8%93.html,教育培訓
consulting,https://www.medatatw.com/%E7%B5%B1%E8%A8%88%E8%AB%AE%E8%A9%A2.html,統計諮詢
merch,https://www.medatatw.com/%E5%91%A8%E9%82%8A%E5%95%86%E5%93%81.html,周邊商品
live,https://www.medatatw.com/%E7%9B%B4%E6%92%AD%E8%AA%B2%E7%A8%8B%E5%8D%80.html,直播課程區
learning,https://www.medatatw.com/%E5%AD%B8%E7%BF%92%E5%B0%88%E5%8D%80.html,學習專區
errata,https://www.medatatw.com/%E6%95%99%E6%9D%90%E5%8B%98%E8%AA%A4.html,教材勘誤
resources,https://www.medatatw.com/%E7%B2%BE%E9%81%B8%E6%96%87%E7%8D%BB%E8%88%87%E5%85%B6%E4%BB%96%E8%B3%87%E6%BA%90.html,精選文獻與其他資源
news,https://www.medatatw.com/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF.html,最新消息
faq,https://www.medatatw.com/%E5%B8%B8%E8%A6%8B%E5%95%8F%E9%A1%8C.html,常見問題
contact,https://www.medatatw.com/contactus.html,聯絡我們
regression-package,https://www.medatatw.com/%E6%AD%A3%E5%BC%8F%E5%88%86%E6%9E%90%E5%A5%97%E9%A4%901%E8%BF%B4%E6%AD%B8%E6%A8%A1%E5%9E%8B%E5%A5%97%E9%A4%90.html,正式分析套餐1 迴歸模型套餐
pretest-package,https://www.medatatw.com/%E9%A0%90%E8%A9%A6%E5%88%86%E6%9E%90%E5%A5%97%E9%A4%90.html,預試分析套餐
student-package,https://www.medatatw.com/%E6%87%B6%E4%BA%BA%E5%A5%97%E9%A4%90-%E4%B8%AD%E5%AD%B8%E7%94%9F%E5%B0%8F%E8%AB%96%E6%96%87%E5%95%8F%E5%8D%B7%E5%88%86%E6%9E%90%E5%A5%97%E9%A4%90.html,懶人套餐-中學生小論文問卷分析套餐
medical-package-1,https://www.medatatw.com/%E9%86%AB%E5%AD%B8%E7%A0%94%E7%A9%B6%E6%87%B6%E4%BA%BA%E4%B8%80%E8%99%9F%E9%A4%90.html,醫學研究懶人一號餐
rwd-package,https://www.medatatw.com/%E7%9C%9F%E5%AF%A6%E4%B8%96%E7%95%8C%E7%A0%94%E7%A9%B6%E5%A5%97%E9%A4%90.html,真實世界研究設計與分析套餐
prediction-package,https://www.medatatw.com/%E9%A0%90%E6%B8%AC%E6%A8%A1%E5%9E%8B.html,預測模型與驗證套餐
